expense_id,group_id,payer_id,participants,amount,currency,merchant,category,timestamp,num_participants,is_fraud
exp_3771,group_28,user_201,"[{'user_id': 'user_201', 'amount': np.float64(6.32)}, {'user_id': 'user_502', 'amount': np.float64(4.25)}]",10.57,AUD,Grocery Store XYZ,business,2024-12-14T11:31:00,2,0
exp_6672,group_53,user_213,"[{'user_id': 'user_213', 'amount': np.float64(3.49)}, {'user_id': 'user_548', 'amount': np.float64(4.26)}]",7.75,USD,Restaurant ABC,groceries,2025-06-12T06:57:00,2,0
exp_7261,group_87,user_322,"[{'user_id': 'user_322', 'amount': np.float64(2.83)}, {'user_id': 'user_78', 'amount': np.float64(2.17)}]",5.0,USD,Gas Station 123,entertainment,2025-09-02T15:49:00,2,0
exp_760,group_99,user_156,"[{'user_id': 'user_156', 'amount': np.float64(4.86)}, {'user_id': 'user_465', 'amount': np.float64(4.71)}, {'user_id': 'user_455', 'amount': np.float64(4.44)}]",14.01,USD,Pharmacy STU,business,2025-05-17T21:11:00,3,0
exp_3779,group_55,user_91,"[{'user_id': 'user_91', 'amount': np.float64(4.78)}, {'user_id': 'user_826', 'amount': np.float64(6.35)}]",11.13,USD,Pharmacy STU,business,2025-01-17T12:28:00,2,0
exp_1772,group_45,user_407,"[{'user_id': 'user_407', 'amount': np.float64(8.63)}, {'user_id': 'user_286', 'amount': np.float64(10.45)}, {'user_id': 'user_986', 'amount': np.float64(8.34)}]",27.42,CAD,Pharmacy STU,shopping,2024-10-04T20:55:00,3,0
exp_7509,group_82,user_646,"[{'user_id': 'user_646', 'amount': np.float64(14.63)}, {'user_id': 'user_26', 'amount': np.float64(12.31)}, {'user_id': 'user_654', 'amount': np.float64(11.86)}]",38.8,GBP,Pharmacy STU,utilities,2025-08-01T13:17:00,3,0
exp_2679,group_63,user_194,"[{'user_id': 'user_194', 'amount': np.float64(8.71)}, {'user_id': 'user_41', 'amount': np.float64(7.83)}, {'user_id': 'user_9', 'amount': np.float64(10.66)}, {'user_id': 'user_203', 'amount': np.float64(9.18)}]",36.38,USD,Taxi Service PQR,business,2024-12-10T12:43:00,4,0
exp_2305,group_91,user_803,"[{'user_id': 'user_803', 'amount': np.float64(3.7)}, {'user_id': 'user_595', 'amount': np.float64(3.83)}]",7.53,USD,Pharmacy STU,business,2024-11-22T12:50:00,2,0
exp_9215,group_89,user_453,"[{'user_id': 'user_453', 'amount': np.float64(5.49)}, {'user_id': 'user_74', 'amount': np.float64(6.36)}]",11.85,USD,Hotel JKL,healthcare,2025-09-16T12:03:00,2,0
